《ファイル情報》,,,,,,
,測定項目情報,0x0503,CV ｻｲｸﾘｯｸﾎﾞﾙﾀﾝﾒﾄﾘ,,,
,測定タイトル,,,,,
,解析バージョン,2,,,,
,解析フェイズセクション数,3,,,,
,,,,,,
《測定情報》,,,,,,
,試料,,,,,
,作用極,,,,,
,面積,1,cm2,,,
,電解質溶液,,,,,
,濃度,1,wt%,,,
,参照電極,Ag/AgCl,,,,
,温度,25,℃,,,
,コメント,,,,,
,,,,,,
《測定条件》,,,,,,
,[本測定],,,,,
,,第1設定電位,-1,V,,
,,第2設定電位,1,V,,
,,ｽｷｬﾝ速度,10,mV/s,,
,,ｻｲｸﾙ数,1,（なし）,,
,,ｻﾝﾌﾟﾘﾝｸﾞ間隔,100,ms,,
,,上限ﾘﾐｯﾄﾘﾊﾞｰｽ,OFF,（なし）,,
,,下限ﾘﾐｯﾄﾘﾊﾞｰｽ,OFF,（なし）,,
,,不感時間,OFF,s,,
,[自然電位],,,,,
,,計測打切時間,30,s,,
,,検出電位変動,1,mV,,
,,ｻﾝﾌﾟﾘﾝｸﾞ間隔,1,s,,
,[初期電位],,,,,
,,初期電位,REST,V,,
,,初期電位保持時間,30,s,,
,,ｻﾝﾌﾟﾘﾝｸﾞ間隔,1,s,,
,[後処理],,,,,
,,後処理,,CLR,,
,,保持時間,30,s,,
,,ｻﾝﾌﾟﾘﾝｸﾞ間隔,1,s,,
,,,,,,
《PGS設定》,,,,,,
,[本測定],,,,,
,,動作モード,PS,,,
,,内部設定有効選択,無効,,,
,,内部設定電圧,0,V,,
,,内部設定電流,0,（なし）,,
,,外部入力の接続,無効,,,
,,電圧レンジ,±2V,,,
,,電流レンジ,±3mA,,,
,,電流下限レンジ,±3uA,,,
,,電流リミット,OFF,A,,
,,フィルタ,AUTO,,,
,,レスポンス,1,,,
,,,,,,
,,,,,,
《測定フェイズヘッダ》,,,,,,
,フェイズ情報,0x0601,自然電位測定,,,
,サイクル番号,1,,,,
,測定点数,30,,,,
,,,,,,
《サイクル情報》,,,,,,
